"Patent ID","Annotation Reference","Chemical ID","SMILES","Type","Chemical Document Count","Annotation Document Count","Title Count","Abstract Count","Claims Count","Description Count","Chemical Corpus Count","Annotation Corpus Count","Molecular Weight","Med Chem Alert","Log P","Donor Count","Acceptor Count","Ring Count","Rotatable Bound Count","Radical","Fragment","Connected","Singleton","Simple","Lipinski","Lead Likeness","Bio Availability"
"US-20110009367-A1","US20110009367A1-20110113-C00363.TIF","12823645","CCCC1=NC(C)=C2N1N=C(NC2=O)C1=C(OCC)C=CC(=C1)S(=O)(=O)NCCC1=CC=C(O)C(OC)=C1","IMAGE","0","","","","","","7","","541.6190185546875","0","2.2328600883483887","3","8","4","10","0","0","1","0","0","0","0","1"
"US-20110009367-A1","US20110009367A1-20110113-C00371.MOL","12823141","CCCC1=NC(C)=C2N1N=C(NC2=O)C1=C(OCC)C=CC(=C1)S(=O)(=O)NC1=CC=C(OC)C(OCC2CCCCO2)=C1","MOLATTACHMENT","0","","","","","","6","","611.708984375","0","2.8867299556732178","2","9","5","11","0","0","1","0","0","0","0","0"
"US-20110009367-A1","US20110009367A1-20110113-C00457_2.MOL","14280857","ClS([Rh])(=O)=O","MOLATTACHMENT","0","","","","","","1","","202.4219970703125","1","0.3034000098705292","0","2","0","0","0","0","1","0","0","1","1","1"
"US-20110009367-A1","US20110009367A1-20110113-C00448.TIF","5530","CCCC1=NC(CC)=C2N1N=C(NC2=O)C1=CC(=CC=C1OCC)S(=O)(=O)N1CCN(C)CC1","IMAGE","3","","","","","","103","","488.6029968261719","0","1.4522900581359863","1","7","4","7","0","0","1","0","0","1","0","1"
"US-20110009367-A1","US20110009367A1-20110113-C00258.MOL","12922545","CCCC1=NC(C)=C2N1N=C(NC2=O)C1=C(OCC)C=CC(=C1)S(=O)(=O)NCC(C)(C)CN(C)C","MOLATTACHMENT","0","","","","","","8","","504.6449890136719","0","1.4232499599456787","2","7","3","10","0","0","1","0","0","0","0","1"
"US-20110009367-A1","US20110009367A1-20110113-C00400.MOL","12922577","CCCC1=NC(C)=C2N1N=C(NC2=O)C1=C(OCC)C=CC(=C1)S(=O)(=O)NC1=CC=C(OCC(=O)N2CCCC2)C(OC)=C1","MOLATTACHMENT","0","","","","","","6","","624.7080078125","0","1.5477700233459473","2","9","5","11","0","0","1","0","0","0","0","0"
"US-20110009367-A1","US20110009367A1-20110113-C00416_3.MOL","13087136","[V]N1CCN([W])CC1","MOLATTACHMENT","0","","","","","","12802","","318.8999938964844","1","-0.77920001745224","0","2","1","0","0","0","1","0","0","1","1","1"
"US-20110009367-A1","US20110009367A1-20110113-C00174.TIF","12823564","CCCC1=NC(C)=C2N1N=C(NC2=O)C1=C(OCC)C=CC(=C1)S(=O)(=O)NCCCOCCC1=CC=CC=C1","IMAGE","0","","","","","","7","","553.6729736328125","0","2.7070798873901367","2","7","4","13","0","0","1","0","0","0","0","0"
"US-20110009367-A1","US20110009367A1-20110113-C00067.MOL","974554","CCCOC1=CC=C(C=C1C1=NN2C(CCC)=NC(C)=C2C(=O)N1)S(Cl)(=O)=O","MOLATTACHMENT","23","","","","","","342","","424.9020080566406","1","2.320080041885376","1","6","3","7","0","0","1","0","0","1","1","1"
"US-20110009367-A1","US20110009367A1-20110113-C00314.MOL","12823626","CCCC1=NC(CC)=C2N1N=C(NC2=O)C1=C(OCC)C=CC(=C1)S(=O)(=O)N(C)CCN(CC)CC","MOLATTACHMENT","0","","","","","","5","","518.6719970703125","0","2.028179883956909","1","7","3","12","0","0","1","0","0","0","0","0"
"US-20110009367-A1","US20110009367A1-20110113-C00306.TIF","12922550","CCCC1=NC(CC)=C2N1N=C(NC2=O)C1=C(OCC)C=CC(=C1)S(=O)(=O)N(C)N(C)C1=CC=CC=C1","IMAGE","0","","","","","","6","","524.635009765625","0","3.5306200981140137","1","7","4","9","0","0","1","0","0","0","0","1"
"US-20110009367-A1","US20110009367A1-20110113-C00279.MOL","12823797","CCCC1=NC(CC)=C2N1N=C(NC2=O)C1=C(OCC)C=CC(=C1)S(=O)(=O)NC(CN(C)C)CN(C)C","MOLATTACHMENT","0","","","","","","7","","533.68701171875","0","1.1523100137710571","2","8","3","12","0","0","1","0","0","0","0","0"
"US-20110009367-A1","US20110009367A1-20110113-C00399.TIF","12823822","CCCCN(CC)C(=O)COC1=CC=C(NS(=O)(=O)C2=CC(=C(OCC)C=C2)C2=NN3C(CCC)=NC(C)=C3C(=O)N2)C=C1OC","IMAGE","0","","","","","","7","","654.7769775390625","0","2.8226799964904785","2","9","4","15","0","0","1","0","0","0","0","0"
"US-20110009367-A1","US20110009367A1-20110113-C00145.MOL","974824","CCCC1=NC(C)=C2N1N=C(NC2=O)C1=C(OCC)C=C(OC)C(=C1)S(=O)(=O)NC1=CC=C(OCC)C=C1","MOLATTACHMENT","2","","","","","","46","","541.6190185546875","0","2.3803799152374268","2","8","4","10","0","0","1","0","0","0","0","1"
"US-20110009367-A1","US20110009367A1-20110113-C00008.TIF","6019273","CC1=CC2=C(OC(F)(F)C(F)O2)C=C1","IMAGE","0","","","","","","65","","204.14599609375","0","3.2440500259399414","0","2","2","0","0","0","1","0","0","1","1","1"
"US-20110009367-A1","US20110009367A1-20110113-C00296.MOL","12824008","CCCC1=NC(CC)=C2N1N=C(NC2=O)C1=C(OCC)C=CC(=C1)S(=O)(=O)N(C)CCCN(C)C","MOLATTACHMENT","0","","","","","","6","","504.6449890136719","0","0.9839760065078735","1","7","3","11","0","0","1","0","0","0","0","0"
"US-20110009367-A1","US20110009367A1-20110113-C00354.MOL","12822901","CCCC1=NC(C)=C2N1N=C(NC2=O)C1=C(OCC)C=CC(=C1)S(=O)(=O)N1CCN(CC1)C(=O)OC(C)(C)C","MOLATTACHMENT","0","","","","","","6","","560.666015625","0","1.651900053024292","1","7","4","8","0","0","1","0","0","0","0","1"
"US-20110009367-A1","US20110009367A1-20110113-C00091.MOL","5537","CCCC1=NC(C)=C2N1N=C(NC2=O)C1=CC(=CC=C1OCC)S(=O)(=O)N1CCN(C)CC1","MOLATTACHMENT","3","","","","","","138","","474.57598876953125","0","0.7517560124397278","1","7","4","6","0","0","1","0","0","1","0","1"
"US-20110009367-A1","US20110009367A1-20110113-C00136.MOL","975295","CCCOC1=CC=C(C=C1C1=NN2C(CCC)=NC(C)=C2C(=O)N1)S(=O)(=O)N(C)CCO","MOLATTACHMENT","2","","","","","","47","","463.54998779296875","0","0.7370560169219971","2","7","3","9","0","0","1","0","0","1","0","1"
"US-20110009367-A1","US20110009367A1-20110113-C00276.TIF","12823601","CCCC1=NC(CC)=C2N1N=C(NC2=O)C1=C(OCC)C=CC(=C1)S(=O)(=O)NCCN1CCCC1","IMAGE","0","","","","","","7","","502.6300048828125","0","1.65106999874115","2","7","4","10","0","0","1","0","0","0","0","1"
